name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume,Sector_main,sector,change
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-04-10,7:12 PM,-,-,-,0.025,0,"0.020 / 15,000","0.025 / 5,642",Bond & Loan,Industrial Products & Services,0.0
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-04-11,7:12 PM,-,-,-,0.025,0,"0.020 / 15,000","0.025 / 5,642",Bond & Loan,Industrial Products & Services,0.0
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-04-12,7:12 PM,-,-,-,0.025,0,"0.020 / 15,000","0.025 / 5,642",Bond & Loan,Industrial Products & Services,0.0
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-02-25,6:29 PM,-,-,-,98.4,0,98.000 / 20,99.500 / 20,Bond & Loan,Bond Islamic,
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-02-26,7:11 PM,-,-,-,98.4,0,98.000 / 30,99.000 / 10,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-02-27,7:11 PM,-,-,-,98.4,0,98.000 / 30,99.000 / 10,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-02-28,7:11 PM,-,-,-,98.4,0,98.000 / 130,99.000 / 15,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-03-01,7:11 PM,-,-,-,98.4,0,98.400 / 50,99.000 / 10,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-03-04,7:11 PM,-,-,-,98.4,0,98.300 / 10,99.000 / 60,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-03-05,7:11 PM,-,-,-,98.4,0,98.000 / 30,98.900 / 50,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-03-06,7:11 PM,-,-,-,98.4,0,98.000 / 30,99.000 / 10,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-03-07,7:11 PM,-,-,-,98.4,0,98.000 / 20,99.500 / 20,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-03-08,7:11 PM,99,99,99.5,99.5,130,99.000 / 10,99.500 / 1,Bond & Loan,Bond Islamic,0.011178861788617827
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-03-11,7:11 PM,99.5,99.5,99.5,99.5,100,99.100 / 100,99.500 / 8,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-03-12,7:11 PM,-,-,-,99.5,0,99.000 / 30,99.400 / 11,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-03-13,7:13 PM,-,-,-,99.5,0,99.000 / 30,99.400 / 11,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-03-14,7:12 PM,-,-,-,99.5,0,99.000 / 30,99.400 / 11,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-03-15,7:12 PM,-,-,-,99.5,0,99.000 / 10,99.400 / 11,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-03-18,7:12 PM,-,-,-,99.5,0,99.000 / 10,99.400 / 11,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-03-19,7:12 PM,-,-,-,99.5,0,99.000 / 30,99.400 / 11,Bond & Loan,Bond Islamic,0.0
