name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume,Sector_main,sector,change
NETX HOLDINGS BHD,20,2019-04-09,7:12 PM,0.02,0.015,0.02,0.02,"13,806","0.015 / 368,599","0.020 / 515,780",Ace Market,Technology,0.0
NETX HOLDINGS BHD,0020,2019-04-10,7:12 PM,0.020,0.015,0.020,0.02,"17,759","0.015 / 404,107","0.020 / 517,585",Ace Market,Technology,0.0
NETX HOLDINGS BHD,20,2019-04-11,7:12 PM,0.02,0.015,0.02,0.015,"25,728","0.015 / 385,962","0.020 / 511,866",Ace Market,Technology,-0.2500000000000001
NETX HOLDINGS BHD,0020,2019-04-12,7:12 PM,0.020,0.015,0.020,0.02,"13,388","0.015 / 414,580","0.020 / 545,194",Ace Market,Technology,0.3333333333333334
NEXGRAM HOLDINGS BERHAD,96,2019-02-25,6:29 PM,0.015,0.015,0.02,0.02,401,"0.015 / 710,446","0.020 / 87,592",Ace Market,Telecommunications & Media,
NEXGRAM HOLDINGS BERHAD,96,2019-02-26,7:11 PM,0.015,0.015,0.02,0.02,"10,150","0.015 / 739,986","0.020 / 289,571",Ace Market,Telecommunications & Media,0.0
NEXGRAM HOLDINGS BERHAD,96,2019-02-27,7:11 PM,-,-,-,0.02,0,"0.015 / 752,446","0.020 / 294,267",Ace Market,Telecommunications & Media,0.0
NEXGRAM HOLDINGS BERHAD,96,2019-02-28,7:11 PM,0.015,0.015,0.02,0.02,"4,100","0.015 / 751,494","0.020 / 283,571",Ace Market,Telecommunications & Media,0.0
NEXGRAM HOLDINGS BERHAD,96,2019-03-01,7:11 PM,0.015,0.015,0.02,0.02,530,"0.015 / 696,414","0.020 / 287,792",Ace Market,Telecommunications & Media,0.0
NEXGRAM HOLDINGS BERHAD,96,2019-03-04,7:11 PM,0.015,0.015,0.02,0.015,"28,221","0.015 / 693,228","0.020 / 314,581",Ace Market,Telecommunications & Media,-0.2500000000000001
NEXGRAM HOLDINGS BERHAD,96,2019-03-05,7:11 PM,0.02,0.015,0.02,0.02,"15,250","0.015 / 727,700","0.020 / 319,085",Ace Market,Telecommunications & Media,0.3333333333333334
NEXGRAM HOLDINGS BERHAD,96,2019-03-06,7:11 PM,0.015,0.015,0.02,0.02,"1,220","0.015 / 760,780","0.020 / 324,655",Ace Market,Telecommunications & Media,0.0
NEXGRAM HOLDINGS BERHAD,96,2019-03-07,7:11 PM,0.015,0.015,0.02,0.02,"25,110","0.015 / 728,911","0.020 / 351,868",Ace Market,Telecommunications & Media,0.0
NEXGRAM HOLDINGS BERHAD,96,2019-03-08,7:11 PM,0.015,0.015,0.02,0.02,"60,700","0.015 / 630,821","0.020 / 225,279",Ace Market,Telecommunications & Media,0.0
NEXGRAM HOLDINGS BERHAD,96,2019-03-11,7:11 PM,0.015,0.015,0.02,0.02,"153,867","0.015 / 418,854","0.020 / 324,043",Ace Market,Telecommunications & Media,0.0
NEXGRAM HOLDINGS BERHAD,96,2019-03-12,7:11 PM,0.015,0.015,0.02,0.02,"246,279","0.015 / 302,000","0.020 / 294,952",Ace Market,Telecommunications & Media,0.0
NEXGRAM HOLDINGS BERHAD,96,2019-03-13,7:13 PM,0.015,0.015,0.02,0.02,"42,130","0.015 / 315,738","0.020 / 332,705",Ace Market,Telecommunications & Media,0.0
