name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume,Sector_main,sector,change
MyETF MSCI MALAYSIA ISLAMIC DIVIDEND,0824EA,2019-04-12,7:12 PM,-,-,-,1.12,0,1.085 / 10,1.120 / 660,ETF,Exchange Traded Fund-Equity,0.0
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-02-25,6:29 PM,-,-,-,0.845,0,0.841 / 330,0.842 / 20,ETF,Exchange Traded Fund-Equity,
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-02-26,7:11 PM,-,-,-,0.845,0,0.840 / 330,0.842 / 20,ETF,Exchange Traded Fund-Equity,0.0
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-02-27,7:11 PM,0.842,0.842,0.842,0.8420000000000001,20,0.836 / 330,0.842 / 10,ETF,Exchange Traded Fund-Equity,-0.0035502958579880376
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-02-28,7:11 PM,-,-,-,0.8420000000000001,0,0.834 / 330,0.842 / 330,ETF,Exchange Traded Fund-Equity,0.0
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-03-01,7:11 PM,-,-,-,0.8420000000000001,0,0.822 / 330,0.830 / 330,ETF,Exchange Traded Fund-Equity,0.0
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-03-04,7:11 PM,0.826,0.826,0.826,0.826,140,0.821 / 330,0.829 / 330,ETF,Exchange Traded Fund-Equity,-0.01900237529691226
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-03-05,7:11 PM,-,-,-,0.826,0,0.820 / 330,0.828 / 330,ETF,Exchange Traded Fund-Equity,0.0
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-03-06,7:11 PM,-,-,-,0.826,0,0.826 / 2,0.828 / 330,ETF,Exchange Traded Fund-Equity,0.0
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-03-07,7:11 PM,-,-,-,0.826,0,0.821 / 330,0.827 / 330,ETF,Exchange Traded Fund-Equity,0.0
