full name,code,Sector_main,sector,52w,ROE,P/E,EPS,DPS,DY,PTBV,RPS,PSR,Market_Cap,RSI,Stochastic
MUAR BAN LEE GROUP BERHAD,5152, Main Market,Industrial Products & Services ,0.905 - 1.250,10.17,9,12.61,3.0,0.027000000000000003,0.9,152.93,1.0,114.3M,Neutral 60.0,Overbought 90.9
IDEAL UNITED BINTANG INTERNATIONAL BERHAD,9687, Main Market,Property ,0.550 - 1.860,35.11,3,46.13,0.0,0.0,0.91,611.72,0.0,132.6M,Neutral 45.8,Oversold 10.5
I-BERHAD,4251, Main Market,Property ,0.360 - 0.560,5.99,7,5.81,2.13,0.0507,0.43,37.06,1.0,425.2M,Neutral 47.5,Neutral 28.6
LTKM BERHAD,7085, Main Market,Consumer Products & Services ,0.780 - 1.400,6.72,10,12.5,2.0,0.0165,0.65,142.09,1.0,157.4M,Neutral 46.5,Neutral 29.6
SKB SHUTTERS CORPORATION BERHAD,7115, Main Market,Industrial Products & Services ,0.410 - 0.635,2.55,12,5.23,0.0,0.0,0.3,165.82,0.0,24.8M,Neutral 58.6,Overbought 100.0
,03013, Leap Market,Health Care ,0.230 - 0.390,11.81,45,0.86,0.0,0.0,5.36,4.06,10.0,99.7M,Overbought 89.7,Overbought 100.0
GRAND CENTRAL ENTERPRISES BHD,5592, Main Market,Consumer Products & Services ,0.400 - 0.580,-2.43,-17,-2.72,0.0,0.0,0.41,11.76,4.0,90.6M,Neutral 48.0,Neutral 66.7
TITIJAYA LAND BERHAD,5239, Main Market,Property ,0.285 - 0.605,4.31,8,4.05,0.25,0.0078,0.34,22.51,1.0,430.2M,Neutral 52.1,Neutral 33.3
D.B.E. GURNEY RESOURCES BERHAD,7179, Main Market,Consumer Products & Services ,0.025 - 0.040,-50.5,-3,-1.01,0.0,0.0,1.5,4.04,1.0,80.3M,Neutral 51.8,Neutral 50.0
IOI PROPERTIES GROUP BERHAD,5249, Main Market,Property ,1.210 - 1.920,4.1,11,13.77,5.0,0.0331,0.45,44.34,3.0,"8,314.3M",Neutral 42.6,Neutral 23.8
SKP RESOURCES BHD,7155, Main Market,Industrial Products & Services ,0.945 - 1.750,18.39,15,8.46,5.06,0.0389,2.83,141.94,1.0,"1,625.2M",Neutral 49.9,Neutral 33.3
MY E.G. SERVICES BERHAD,0138, Main Market,Technology ,0.655 - 3.030,12.92,57,2.1,0.0,0.0,7.32,13.13,9.0,"4,291.5M",Neutral 68.6,Neutral 66.7
POWER ROOT BERHAD,7237, Main Market,Consumer Products & Services ,1.150 - 1.950,6.35,42,3.36,5.05,0.0358,2.67,84.26,2.0,567.2M,Neutral 48.1,Oversold 10.0
PESTECH INTERNATIONAL BERHAD,5219, Main Market,Industrial Products & Services ,0.950 - 1.790,10.3,17,6.77,0.0,0.0,1.75,89.36,1.0,878.9M,Neutral 42.0,Oversold 18.2
ENCORP BERHAD,6076, Main Market,Property ,0.345 - 0.830,-0.53,-54,-0.71,0.0,0.0,0.29,87.28,0.0,113.2M,Neutral 43.3,Neutral 47.1
CNI HOLDINGS BERHAD,5104, Main Market,Consumer Products & Services ,0.060 - 0.095,1.0,66,0.11,0.3,0.0429,0.64,11.98,1.0,50.4M,Neutral 55.9,Neutral 66.7
RAPID SYNERGY BERHAD,7765, Main Market,Property ,5.210 - 6.150,0.4,1088,0.52,0.0,0.0,4.35,28.22,20.0,609.3M,Neutral 45.5,Neutral 28.6
LBI CAPITAL BERHAD,8494, Main Market,Property ,0.630 - 1.190,2.35,21,3.94,0.0,0.0,0.48,19.42,4.0,66.6M,Neutral 65.3,Neutral 64.1
KIAN JOO CAN FACTORY BERHAD,3522, Main Market,Industrial Products & Services ,2.000 - 3.060,1.18,79,3.86,0.0,0.0,0.93,411.29,1.0,"1,359.2M",Overbought 82.2,Overbought 100.0
RGB INTERNATIONAL BHD,0037, Main Market,Consumer Products & Services ,0.180 - 0.305,15.2,9,2.28,0.0,0.0,1.43,24.62,1.0,331.2M,Neutral 42.3,Oversold 12.5
ANN JOO RESOURCES BERHAD,6556, Main Market,Industrial Products & Services ,1.150 - 3.480,10.86,6,26.71,12.0,0.075,0.65,414.73,0.0,895.9M,Neutral 63.4,Overbought 85.7
MIECO CHIPBOARD BERHAD,5001, Main Market,Industrial Products & Services ,0.240 - 0.605,-17.75,-2,-11.54,0.0,0.0,0.43,79.97,0.0,147.0M,Neutral 47.6,Neutral 27.3
MALAYSIAN RESOURCES CORPORATION BERHAD,1651, Main Market,Property ,0.550 - 1.060,2.09,36,2.3,0.0,0.0,0.76,42.52,2.0,"3,673.9M",Neutral 68.3,Overbought 80.0
MHC PLANTATIONS BHD,5026, Main Market,Plantation ,0.560 - 0.845,1.72,28,2.17,0.0,0.0,0.48,174.79,0.0,117.9M,Neutral 43.5,Oversold 0.0
MINDA GLOBAL BERHAD,5166, Main Market,Consumer Products & Services ,0.040 - 0.215,-7.41,-4,-1.38,0.0,0.0,0.27,7.57,1.0,62.0M,Neutral 52.1,Neutral 50.0
KHIND HOLDINGS BERHAD,7062, Main Market,Consumer Products & Services ,1.400 - 1.960,1.21,44,3.94,0.0,0.0,0.53,870.46,0.0,69.3M,Neutral 53.5,Overbought 100.0
K.SENG SENG CORPORATION BERHAD,5192, Main Market,Industrial Products & Services ,0.285 - 0.595,1.13,60,0.94,0.0,0.0,0.68,111.03,1.0,54.2M,Overbought 80.8,Overbought 89.7
7-ELEVEN MALAYSIA HOLDINGS BERHAD,5250, Main Market,Consumer Products & Services ,1.250 - 1.570,50.61,35,4.16,0.0,0.0,17.76,179.68,1.0,"1,800.7M",Neutral 59.8,Neutral 66.7
VERSATILE CREATIVE BERHAD,4995, Main Market,Industrial Products & Services ,0.355 - 0.750,-40.42,-3,-13.34,0.0,0.0,1.35,43.31,1.0,57.4M,Neutral 57.5,Neutral 60.0
HO HUP CONSTRUCTION COMPANY BHD,5169, Main Market,Construction ,0.280 - 0.550,7.54,5,7.31,0.0,0.0,0.4,69.34,1.0,144.3M,Neutral 59.4,Neutral 61.1
