full name,code,Sector_main,sector,52w,ROE,P/E,EPS,DPS,DY,PTBV,RPS,PSR,Market_Cap,RSI,Stochastic
REDTONE INTERNATIONAL BERHAD,0032, Ace Market,Telecommunications & Media ,0.150 - 0.335,9.07,16,1.81,0.0,0.00%,1.43,18.09,2.0,216.1M,Neutral 62.0,Neutral 52.4
ASDION BERHAD,0068, Ace Market,Technology ,0.155 - 0.535,-30.71,-13,-2.15,0.0,0.00%,3.93,9.78,3.0,32.0M,Neutral 60.0,Neutral 50.0
GLOMAC BERHAD,5020, Main Market,Property ,0.360 - 0.530,2.41,11,3.32,1.49,4.08%,0.27,35.57,1.0,292.0M,Neutral 45.2,Neutral 25.0
SAMCHEM HOLDINGS BERHAD,5147, Main Market,Industrial Products & Services ,0.595 - 1.150,14.81,8,7.85,2.0,3.33%,1.13,402.65,0.0,163.2M,Neutral 36.8,Oversold 20.0
SCIENTEX BERHAD,4731, Main Market,Industrial Products & Services ,6.510 - 9.480,14.28,16,53.82,20.0,2.37%,2.24,547.0,2.0,"4,336.0M",Neutral 40.2,Neutral 40.7
BERJAYA SPORTS TOTO BERHAD,1562, Main Market,Consumer Products & Services ,2.010 - 2.620,30.29,13,17.87,15.5,6.49%,4.05,415.65,1.0,"3,229.0M",Neutral 59.8,Overbought 92.9
MAGNI-TECH INDUSTRIES BERHAD,7087, Main Market,Consumer Products & Services ,3.880 - 5.520,19.39,7,62.05,23.0,5.02%,1.43,650.82,1.0,745.3M,Neutral 47.1,Oversold 18.2
SELANGOR PROPERTIES BERHAD,1783, Main Market,Property ,3.950 - 6.250,2.48,35,18.01,0.0,0.00%,0.86,50.24,12.0,"2,147.6M",Overbought 88.3,Overbought 100.0
CHOO BEE METAL INDUSTRIES BHD,5797, Main Market,Industrial Products & Services ,1.410 - 2.480,6.38,6,24.58,4.96,3.12%,0.41,379.87,0.0,209.4M,Neutral 47.0,Neutral 37.5
POH HUAT RESOURCES HOLDINGS BERHAD,7088, Main Market,Consumer Products & Services ,1.150 - 1.640,16.04,6,24.07,6.0,4.00%,1.0,281.59,1.0,350.0M,Oversold 29.0,Oversold 0.0
APFT BERHAD,5194, Main Market,Consumer Products & Services ,0.005 - 0.035,,2,0.65,0.0,0.00%,,0.13,11.0,20.1M,Neutral 45.4,Oversold 0.0
NTPM HOLDINGS BERHAD,5066, Main Market,Consumer Products & Services ,0.485 - 0.655,3.35,37,1.34,1.6,3.23%,1.24,63.25,1.0,556.0M,Neutral 47.3,Neutral 40.0
LKL INTERNATIONAL BERHAD,0182, Ace Market,Health Care ,0.105 - 0.190,-2.07,-39,-0.29,0.0,0.00%,0.82,8.35,1.0,49.3M,Neutral 51.0,Neutral 50.0
TRIVE PROPERTY GROUP BERHAD,0118, Main Market,Technology ,0.010 - 0.040,-12.6,-4,-0.35,0.0,0.00%,0.54,0.16,9.0,35.2M,Neutral 45.3,Oversold 0.0
INIX TECHNOLOGIES HOLDINGS BERHAD,0094, Ace Market,Technology ,0.045 - 0.120,-87.75,-1,-7.45,0.0,0.00%,0.88,3.37,2.0,19.4M,Neutral 56.6,Overbought 83.3
TALAM TRANSFORM BERHAD,2259, Main Market,Property ,0.025 - 0.045,-6.71,-8,-0.57,0.0,0.00%,0.53,1.66,3.0,189.9M,Neutral 62.4,Overbought 100.0
JOHAN HOLDINGS BERHAD,3441, Main Market,Financial Services ,0.070 - 0.265,-99.8,-1,-15.26,0.0,0.00%,0.56,17.0,1.0,53.0M,Neutral 46.0,Neutral 33.3
KYM HOLDINGS BERHAD,8362, Main Market,Industrial Products & Services ,0.250 - 0.520,3.76,14,2.37,0.0,0.00%,0.51,66.85,0.0,48.0M,Neutral 49.4,Neutral 50.0
ASTINO BERHAD,7162, Main Market,Industrial Products & Services ,0.590 - 0.965,5.57,9,7.58,1.0,1.49%,0.49,201.89,0.0,183.7M,Neutral 49.6,Neutral 50.0
CYPARK RESOURCES BERHAD,5184, Main Market,Industrial Products & Services ,1.500 - 2.670,12.99,11,15.53,2.32,1.37%,1.41,74.69,2.0,774.5M,Neutral 47.3,Neutral 25.0
QUALITY CONCRETE HOLDINGS BERHAD,7544, Main Market,Industrial Products & Services ,0.705 - 0.890,-9.64,-5,-17.65,0.0,0.00%,0.45,215.14,0.0,47.2M,Neutral 51.4,Overbought 87.5
SC ESTATE BUILDER BERHAD,0109, Ace Market,Construction ,0.010 - 0.035,4.1,19,0.16,0.0,0.00%,0.77,1.54,2.0,26.5M,Neutral 64.4,Overbought 100.0
APOLLO FOOD HOLDINGS BERHAD,6432, Main Market,Consumer Products & Services ,3.550 - 4.560,6.26,21,18.9,20.0,5.10%,1.3,233.85,2.0,313.6M,Neutral 54.2,Neutral 58.3
LB ALUMINIUM BERHAD,9326, Main Market,Industrial Products & Services ,0.440 - 0.680,3.04,14,3.68,1.0,1.96%,0.42,218.02,0.0,126.7M,Neutral 53.8,Neutral 35.3
GREENYIELD BERHAD,0136, Main Market,Consumer Products & Services ,0.105 - 0.200,1.2,63,0.2,0.0,0.00%,0.75,12.11,1.0,41.7M,Neutral 45.4,Oversold 0.0
JKG LAND BERHAD,6769, Main Market,Property ,0.070 - 0.100,0.45,82,0.09,0.0,0.00%,0.38,3.37,2.0,170.6M,Neutral 48.1,Oversold 0.0
ECO WORLD INTERNATIONAL BERHAD,5283, Main Market,Property ,0.665 - 1.150,2.94,24,3.09,0.0,0.00%,0.7,0.2,363.0,"1,776.0M",Neutral 41.9,Oversold 18.2
KEIN HING INTERNATIONAL BERHAD,7199, Main Market,Industrial Products & Services ,0.470 - 0.630,2.72,21,2.77,1.0,1.75%,0.56,215.88,0.0,62.1M,Neutral 55.8,Neutral 58.6
CYL CORPORATION BERHAD,7157, Main Market,Industrial Products & Services ,0.400 - 0.690,-2.94,-23,-1.84,0.0,0.00%,0.69,53.46,1.0,43.0M,Neutral 43.1,Neutral 21.4
MINTYE BERHAD,5886, Main Market,Consumer Products & Services ,0.800 - 1.000,1.49,29,2.75,0.0,0.00%,0.44,73.1,1.0,48.9M,Neutral 66.4,Overbought 100.0
GAMUDA BERHAD,5398, Main Market,Construction ,2.000 - 5.240,5.68,16,18.02,12.0,4.17%,0.91,181.57,2.0,"7,108.3M",Neutral 50.5,Neutral 47.4
YINSON HOLDINGS BERHAD,7293, Main Market,Energy ,3.750 - 4.950,13.61,21,21.78,6.0,1.30%,2.88,94.65,5.0,"5,029.7M",Neutral 64.6,Neutral 58.6
VISDYNAMICS HOLDINGS BERHAD,0120, Ace Market,Technology ,0.290 - 0.795,17.39,10,4.26,1.0,2.44%,1.67,21.82,2.0,69.4M,Oversold 28.3,Oversold 3.8
HIAP TECK VENTURE BERHAD,5072, Main Market,Industrial Products & Services ,0.220 - 0.465,-1.65,-26,-1.02,0.5,1.89%,0.43,85.33,0.0,356.2M,Neutral 36.7,Oversold 7.1
A-RANK BERHAD,7214, Main Market,Industrial Products & Services ,0.500 - 0.915,10.21,7,7.76,2.3,4.42%,0.68,288.62,0.0,88.1M,Neutral 47.3,Neutral 22.2
KOMARKCORP BERHAD,7017, Main Market,Industrial Products & Services ,0.120 - 0.290,-39.16,-2,-12.56,0.0,0.00%,0.84,30.74,1.0,44.4M,Overbought 72.8,Overbought 80.0
CRESCENDO CORPORATION BERHAD,6718, Main Market,Property ,1.190 - 1.400,4.15,10,13.33,6.0,4.62%,0.4,105.4,1.0,364.6M,Neutral 52.8,Neutral 33.3
COMFORT GLOVES BERHAD,2127, Main Market,Industrial Products & Services ,0.690 - 1.100,10.12,17,4.96,0.0,0.00%,1.76,84.33,1.0,483.3M,Neutral 56.4,Overbought 88.9
WONG ENGINEERING CORPORATION BERHAD,7050, Main Market,Industrial Products & Services ,0.515 - 1.100,7.31,14,4.14,1.6,2.81%,1.01,52.93,1.0,65.3M,Neutral 47.0,Neutral 64.7
TECK GUAN PERDANA BERHAD,7439, Main Market,Consumer Products & Services ,0.695 - 1.550,5.19,22,6.35,0.0,0.00%,1.14,752.93,0.0,55.7M,Neutral 68.8,Neutral 72.4
SCGM BHD,7247, Main Market,Industrial Products & Services ,1.000 - 1.910,1.31,93,1.12,1.25,1.20%,1.22,112.14,1.0,201.3M,Oversold 23.2,Oversold 5.9
KIM LOONG RESOURCES BERHAD,5027, Main Market,Plantation ,1.130 - 1.520,7.12,21,5.57,5.97,5.06%,1.51,93.32,1.0,"1,103.8M",Oversold 28.2,Oversold 0.0
HAI-O ENTERPRISE BERHAD,7668, Main Market,Consumer Products & Services ,2.480 - 5.390,17.35,14,17.87,15.0,5.91%,2.47,122.9,2.0,762.8M,Oversold 19.6,Oversold 4.0
SAPURA ENERGY BERHAD,5218, Main Market,Energy ,0.255 - 0.910,16.9,26,1.3,0.04,0.12%,4.35,33.18,1.0,"5,353.0M",Neutral 53.4,Neutral 33.3
MYNEWS HOLDINGS BERHAD,5275, Main Market,Consumer Products & Services ,1.260 - 1.720,9.9,33,4.16,1.0,0.73%,3.26,62.29,2.0,934.6M,Neutral 51.2,Neutral 57.1
MCE HOLDINGS BERHAD,7004, Main Market,Industrial Products & Services ,0.435 - 0.830,-4.39,-7,-8.73,0.0,0.00%,0.32,141.74,0.0,28.0M,Neutral 53.1,Neutral 37.5
TECHNODEX BHD,0132, Ace Market,Technology ,0.065 - 0.130,-17.0,-7,-1.19,0.0,0.00%,1.14,10.21,1.0,47.2M,Neutral 51.1,Overbought 100.0
SUBUR TIASA HOLDINGS BERHAD,6904, Main Market,Industrial Products & Services ,0.400 - 1.000,-3.84,-5,-12.11,0.0,0.00%,0.17,138.19,0.0,113.9M,Neutral 55.3,Neutral 64.3
SUPERLON HOLDINGS BERHAD,7235, Main Market,Industrial Products & Services ,0.995 - 1.610,8.0,18,6.25,1.14,1.03%,1.42,64.78,2.0,177.6M,Oversold 21.7,Oversold 3.7
TOP GLOVE CORPORATION BHD,7113, Main Market,Health Care ,4.300 - 12.480,17.34,27,16.99,5.93,1.28%,4.71,185.09,2.0,"11,829.9M",Neutral 51.4,Overbought 88.9
UNITED MALACCA BERHAD,2593, Main Market,Plantation ,5.120 - 6.530,-1.3,-58,-9.39,8.0,1.47%,0.75,99.94,5.0,"1,140.7M",Neutral 50.1,Neutral 66.7
ANALABS RESOURCES BERHAD,7083, Main Market,Industrial Products & Services ,1.010 - 2.840,3.64,15,7.22,1.85,1.70%,0.55,115.5,1.0,130.9M,Neutral 41.2,Oversold 0.0
DPI HOLDINGS BERHAD,0205, Ace Market,Consumer Products & Services ,0.185 - 0.350,4.0,33,0.56,0.0,0.00%,1.32,4.15,4.0,90.0M,Oversold 19.9,Oversold 0.0
JAYCORP BERHAD,7152, Main Market,Consumer Products & Services ,0.750 - 1.010,9.77,8,11.33,8.0,8.42%,0.82,231.67,0.0,130.4M,Neutral 63.9,Neutral 61.3
REDTONE INTERNATIONAL BERHAD,0032, Ace Market,Telecommunications & Media ,0.150 - 0.335,9.07,17,1.81,0.0,0.00%,1.5,18.09,2.0,227.5M,Neutral 66.0,Neutral 66.7
ASDION BERHAD,0068, Ace Market,Technology ,0.155 - 0.535,-30.71,-13,-2.15,0.0,0.00%,4.0,9.78,3.0,32.6M,Neutral 62.9,Neutral 60.0
GLOMAC BERHAD,5020, Main Market,Property ,0.360 - 0.530,2.41,11,3.32,1.49,4.03%,0.27,35.57,1.0,296.0M,Neutral 49.0,Neutral 50.0
SAMCHEM HOLDINGS BERHAD,5147, Main Market,Industrial Products & Services ,0.595 - 1.150,14.81,8,7.85,2.0,3.36%,1.12,402.65,0.0,161.8M,Neutral 34.6,Oversold 0.0
SCIENTEX BERHAD,4731, Main Market,Industrial Products & Services ,6.510 - 9.480,14.28,16,53.82,20.0,2.34%,2.27,547.0,2.0,"4,397.8M",Neutral 48.8,Overbought 85.2
BERJAYA SPORTS TOTO BERHAD,1562, Main Market,Consumer Products & Services ,2.010 - 2.620,30.29,14,17.87,15.5,6.40%,4.1,415.65,1.0,"3,269.5M",Neutral 64.0,Overbought 88.9
MAGNI-TECH INDUSTRIES BERHAD,7087, Main Market,Consumer Products & Services ,3.880 - 5.520,19.39,7,62.05,23.0,4.97%,1.45,650.82,1.0,753.4M,Neutral 50.9,Neutral 29.5
