name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume
SBC CORPORATION BHD,5207,22-Mar-19,7:12 PM,0.475,0.47,0.485,0.48,355,0.480 / 2,0.485 / 70
SARAWAK CABLE BERHAD,5170,22-Mar-19,7:12 PM,0.36,0.34,0.36,0.34,"3,464",0.335 / 180,0.340 / 3
SC ESTATE BUILDER BERHAD,109,22-Mar-19,7:12 PM,0.025,0.025,0.025,0.025,800,"0.020 / 136,120","0.025 / 4,509"
SC ESTATE BUILDER BERHAD - WARRANTS B 2014/2019,0109WB,22-Mar-19,7:12 PM,-,-,-,0.005,0,0.000 / 0,"0.005 / 37,922"
SCC HOLDINGS BERHAD,158,22-Mar-19,7:12 PM,-,-,-,0.51,0,0.510 / 117,0.520 / 120
SCGM BHD,7247,22-Mar-19,7:12 PM,1.17,1.13,1.17,1.14,"4,720","1.130 / 1,209","1.140 / 1,213"
SCGM BERHAD - WARRANTS A,7247WA,22-Mar-19,7:12 PM,-,-,-,0.09,0,0.085 / 231,0.110 / 8
SCH GROUP BERHAD,161,22-Mar-19,7:12 PM,0.13,0.13,0.13,0.13,"1,500","0.125 / 2,400",0.130 / 500
SCH GROUP BERHAD - WARRANTS 2016/2021,0161WA,22-Mar-19,7:12 PM,0.04,0.04,0.04,0.04,150,"0.035 / 6,300",0.040 / 250
SARAWAK CONSOLIDATED IND BHD,9237,22-Mar-19,7:12 PM,0.6,0.55,0.6,0.55,672,0.550 / 199,0.600 / 49
SCICOM (MSC) BHD,99,22-Mar-19,7:12 PM,1.15,1.12,1.15,1.14,804,1.110 / 140,1.140 / 87
SCIENTEX BERHAD,4731,22-Mar-19,7:12 PM,8.51,8.48,8.56,8.56,"1,635",8.500 / 188,8.560 / 75
SCIENTX-CF: CW SCIENTEX BERHAD (CIMB),4731CF,22-Mar-19,7:12 PM,0.065,0.06,0.065,0.06,104,0.035 / 100,0.000 / 0
SCANWOLF CORPORATION BHD,7239,22-Mar-19,7:12 PM,-,-,-,0.175,0,0.155 / 100,0.190 / 400
SCOMI GROUP BHD,7158,22-Mar-19,7:12 PM,0.045,0.045,0.045,0.045,"8,000","0.045 / 84,681","0.050 / 49,088"
SCOMI GROUP BERHAD - WARRANTS B,7158WB,22-Mar-19,7:12 PM,0.01,0.01,0.01,0.01,182,"0.010 / 36,113","0.015 / 18,378"
SCOMI ENERGY SERVICES BHD,7045,22-Mar-19,7:12 PM,0.07,0.07,0.08,0.08,"27,606","0.070 / 19,322","0.080 / 25,710"
SUPERCOMNET TECHNOLOGIES BHD,1,22-Mar-19,7:12 PM,0.78,0.765,0.79,0.765,"8,491",0.765 / 657,0.775 / 100
SCOPE INDUSTRIES BHD,28,22-Mar-19,7:12 PM,0.225,0.215,0.225,0.225,"14,048","0.215 / 1,812","0.225 / 3,501"
SCOPE INDUSTRIES BHD - WARR,0028WA,22-Mar-19,7:12 PM,0.08,0.08,0.08,0.08,"2,000","0.080 / 1,512",0.090 / 356
SELANGOR DREDGING BHD,2224,22-Mar-19,7:12 PM,0.7,0.68,0.7,0.685,837,0.680 / 355,0.685 / 6
SEACERA GROUP BERHAD,7073,22-Mar-19,7:12 PM,0.37,0.36,0.37,0.36,"301,705","0.355 / 18,800",0.360 / 163
SEACERA GROUP BERHAD-WARRANTS B 2014/2019,7073WB,22-Mar-19,7:12 PM,-,-,-,0.005,0,0.000 / 0,"0.005 / 6,557"
SEACERA GROUP BERHAD - WARRANTS C,7073WC,22-Mar-19,7:12 PM,0.04,0.04,0.045,0.04,"11,942","0.035 / 177,291",0.040 / 442
SEAL INCORPORATED BHD,4286,22-Mar-19,7:12 PM,0.345,0.345,0.36,0.36,450,0.340 / 230,0.375 / 50
SEALINK INTERNATIONAL BHD,5145,22-Mar-19,7:12 PM,0.2,0.195,0.205,0.205,"9,630","0.195 / 4,935",0.205 / 761
SEREMBAN ENGINEERING BERHAD,5163,22-Mar-19,7:12 PM,-,-,-,0.38,0,0.380 / 324,0.400 / 50
SEDANIA INNOVATOR BERHAD,178,22-Mar-19,7:12 PM,0.11,0.11,0.115,0.115,61,"0.115 / 2,440",0.130 / 100
SEE HUP CONSOLIDATED BHD,7053,22-Mar-19,7:12 PM,-,-,-,0.91,0,0.910 / 49,0.995 / 30
SEERS BERHAD,3009,22-Mar-19,7:12 PM,-,-,-,0.1,0,0.005 / 50,0.000 / 0
SEG INTERNATIONAL BHD,9792,22-Mar-19,7:12 PM,0.63,0.625,0.63,0.63,"2,866","0.625 / 1,300","0.630 / 2,461"
7-ELEVEN MALAYSIA HOLDINGS BERHAD,5250,22-Mar-19,7:12 PM,1.45,1.44,1.45,1.45,"1,008",1.380 / 30,1.450 / 63
EVERSENDAI CORPORATION BERHAD,5205,22-Mar-19,7:12 PM,0.515,0.5,0.525,0.515,"311,743","0.510 / 10,285",0.515 / 52
SERBA DINAMIK HOLDINGS BERHAD,5279,22-Mar-19,7:12 PM,3.9,3.86,3.9,3.87,"10,354",3.860 / 10,"3.870 / 11,451"
SERBADK-CN: CW SERBA DINAMIK HOLDINGS BERHAD (MACQ),5279CN,22-Mar-19,7:12 PM,-,-,-,0.005,0,0.000 / 0,0.000 / 0
