full name,name,category,52w,ROE,P/E,EPS,DPS,DY,PTBV,RPS,PSR,Market_Cap,RSI,Stochastic
UCHI TECHNOLOGIES BERHAD,"UCHITEC (7100) [s]
UCHI TECHNOLOGIES BERHAD Summary",Industrial Products & Services - Main Market,2.200 - 3.370,45.03,18,15.31,7,0.0249,8.26,31.05,9,"1,266.7M",Neutral 58.6,Neutral 63.2
MPHB CAPITAL BERHAD,"MPHBCAP (5237)
MPHB CAPITAL BERHAD Summary",Financial Services - Main Market,1.010 - 1.410,0.92,62,1.74,0,0,0.57,64.73,2,772.2M,Neutral 49.5,Neutral 38.9
GENTING PLANTATIONS BERHAD,"GENP (2291) [s]
GENTING PLANTATIONS BERHAD Summary",Plantation - Main Market,9.050 - 10.780,3.98,51,20.4,4.75,0.0046,2.03,235.46,4,"8,404.7M",Neutral 51.5,Neutral 24.0
SCICOM (MSC) BERHAD,"SCICOM (0099) [s]
SCICOM (MSC) BERHAD Summary",Industrial Products & Services - Main Market,0.900 - 2.160,23.29,18,6.52,8.5,0.0708,4.29,43.55,3,426.5M,Neutral 44.1,Oversold 10.0
CHIN WELL HOLDINGS BERHAD,"CHINWEL (5007) [s]
CHIN WELL HOLDINGS BERHAD Summary",Industrial Products & Services - Main Market,1.490 - 2.000,10.4,9,20.08,8.6,0.0478,0.93,211.76,1,539.2M,Neutral 58.0,Neutral 44.4
NAIM HOLDINGS BERHAD,"NAIM (5073) [s]
NAIM HOLDINGS BERHAD Summary",Property - Main Market,0.430 - 1.070,5.8,8,12.59,0,0,0.44,113.26,1,485.5M,Overbought 71.5,Neutral 72.9
TOMYPAK HOLDINGS BERHAD,"TOMYPAK (7285) [s]
TOMYPAK HOLDINGS BERHAD Summary",Industrial Products & Services - Main Market,0.480 - 0.865,-0.96,-109,-0.44,0,0,1.05,40.1,1,203.6M,Oversold 26.6,Oversold 3.2
DOLOMITE CORPORATION BERHAD,"DOLMITE (5835)
DOLOMITE CORPORATION BERHAD Summary",Industrial Products & Services - Main Market,0.100 - 0.295,-375.82,0,-41.34,0,0,1,23.7,0,31.3M,Neutral 44.9,Neutral 40.0
FIAMMA HOLDINGS BERHAD,"FIAMMA (6939) [s]
FIAMMA HOLDINGS BERHAD Summary",Consumer Products & Services - Main Market,0.430 - 0.570,6.72,8,6.32,2.25,0.0433,0.55,65.25,1,275.6M,Neutral 56.5,Neutral 50.0
ESTHETICS INTERNATIONAL GROUP BERHAD,"EIG (5081) [s]
ESTHETICS INTERNATIONAL GROUP BERHAD Summary",Consumer Products & Services - Main Market,0.540 - 0.695,4.79,18,3.59,3,0.0458,0.87,71.49,1,155.4M,Neutral 58.9,Overbought 88.9
